model,variant,not_gamified,avg_initial_trust
OLMo_32B,default,FALSE,1
OLMo_32B,default,TRUE,1
OLMo_32B,game-theorist,FALSE,1
OLMo_32B,game-theorist,TRUE,1
OLMo_13B,default,FALSE,0
OLMo_13B,default,TRUE,1
OLMo_13B,game-theorist,FALSE,0
OLMo_13B,game-theorist,TRUE,1
OLMo_7B,default,FALSE,1
OLMo_7B,default,TRUE,1
OLMo_7B,game-theorist,FALSE,1
OLMo_7B,game-theorist,TRUE,1
LMo_1B,default,FALSE,1
LMo_1B,default,TRUE,1
LMo_1B,game-theorist,FALSE,1
LMo_1B,game-theorist,TRUE,1
QWEN2.5-0.5B,default,FALSE,1
QWEN2.5-0.5B,default_notgamified,TRUE,0
QWEN2.5-0.5B,game-theorist,FALSE,1
QWEN2.5-0.5B,game-theorist_notgamified,TRUE,0
QWEN2.5-7B,default,FALSE,1
QWEN2.5-7B,default_notgamified,TRUE,1
QWEN2.5-7B,game-theorist,FALSE,0
QWEN2.5-7B,game-theorist_notgamified,TRUE,1
QWEN2.5-14B,default,FALSE,1
QWEN2.5-14B,default_notgamified,TRUE,1
QWEN2.5-14B,game-theorist,FALSE,1
QWEN2.5-14B,game-theorist_notgamified,TRUE,1
QWEN2.5-32B,default,FALSE,1
QWEN2.5-32B,default_notgamified,TRUE,1
QWEN2.5-32B,game-theorist,FALSE,1
QWEN2.5-32B,game-theorist_notgamified,TRUE,1
GEMMA3-27B,default,FALSE,1
GEMMA3-27B,default,TRUE,1
GEMMA3-27B,game-theorist,FALSE,1
GEMMA3-27B,game-theorist,TRUE,1
GEMMA3-12B,default,FALSE,1
GEMMA3-12B,default,TRUE,1
GEMMA3-12B,game-theorist,FALSE,1
GEMMA3-12B,game-theorist,TRUE,1
GEMMA3-4B,default,FALSE,1
GEMMA3-4B,default,TRUE,1
GEMMA3-4B,game-theorist,FALSE,1
GEMMA3-4B,game-theorist,TRUE,1
GEMMA3-1B,default,FALSE,1
GEMMA3-1B,default,TRUE,1
GEMMA3-1B,game-theorist,FALSE,1
GEMMA3-1B,game-theorist,TRUE,1
Deepseek-1.3B,default,FALSE,1
Deepseek-1.3B,default,TRUE,1
Deepseek-1.3B,game-theorist,FALSE,1
Deepseek-1.3B,game-theorist,TRUE,1
Deepseek-6.7B,default,FALSE,1
Deepseek-6.7B,default,TRUE,1
Deepseek-6.7B,game-theorist,FALSE,1
Deepseek-6.7B,game-theorist,TRUE,1
Deepseek-33B,default,FALSE,1
Deepseek-33B,default,TRUE,1
Deepseek-33B,game-theorist,FALSE,1
Deepseek-33B,game-theorist,TRUE,1
