pair,delta,outcome,model_family
medium vs small,NA,choice_prob,GEMMA
medium vs small,NA,given,GEMMA
medium vs small,NA,kept,GEMMA
medium vs small,NA,generosity_streak,GEMMA
medium vs small,NA,total_A,GEMMA
medium vs small,NA,total_B,GEMMA
medium vs small,0.9510233132788999,choice_prob,OLMo
medium vs large,NA,choice_prob,OLMo
small vs large,-0.9519230769230769,choice_prob,OLMo
medium vs small,-0.021520466265578,given,OLMo
medium vs large,NA,given,OLMo
small vs large,0,given,OLMo
medium vs small,0.021520466265578,kept,OLMo
medium vs large,NA,kept,OLMo
small vs large,0,kept,OLMo
medium vs small,0.24987242157284056,generosity_streak,OLMo
medium vs large,NA,generosity_streak,OLMo
small vs large,0.014423076923076924,generosity_streak,OLMo
medium vs small,0.018606306403094113,total_A,OLMo
medium vs large,NA,total_A,OLMo
small vs large,-0.011875,total_A,OLMo
medium vs small,-0.18392108938547486,total_B,OLMo
medium vs large,NA,total_B,OLMo
small vs large,-0.030576923076923078,total_B,OLMo
medium vs large,NA,choice_prob,Qwen
medium vs large,NA,given,Qwen
medium vs large,NA,kept,Qwen
medium vs large,NA,generosity_streak,Qwen
medium vs large,NA,total_A,Qwen
medium vs large,NA,total_B,Qwen
