Comparison,Z,P.unadj,P.adj,outcome,model_family
medium - small,-30.86174903131291,3.8967845577765765e-209,3.8967845577765765e-209,choice_prob,GEMMA
medium - small,-168.46180529330852,0,0,given,GEMMA
medium - small,168.46180529330852,0,0,kept,GEMMA
medium - small,-170.02088777416395,0,0,generosity_streak,GEMMA
medium - small,111.07211461521634,0,0,total_A,GEMMA
medium - small,-58.196034910126926,0,0,total_B,GEMMA
large - medium,95.41973800707768,0,0,choice_prob,OLMo
large - small,237.45942471123723,0,0,choice_prob,OLMo
medium - small,182.09038951141773,0,0,choice_prob,OLMo
large - medium,6.848986903741012,7.437480457920169e-12,2.2312441373760505e-11,given,OLMo
large - small,-0.2678994685241028,0.7887767028067187,1,given,OLMo
medium - small,-5.718549815103377,1.0743702105617026e-8,3.223110631685108e-8,given,OLMo
large - medium,-6.848986903741012,7.437480457920169e-12,2.2312441373760505e-11,kept,OLMo
large - small,0.2678994685241305,0.7887767028066975,1,kept,OLMo
medium - small,5.718549815103407,1.0743702105615118e-8,3.223110631684535e-8,kept,OLMo
large - medium,-119.091105829424,0,0,generosity_streak,OLMo
large - small,-4.232293343236452,2.31320429209653e-5,6.93961287628959e-5,generosity_streak,OLMo
medium - small,89.78614931955907,0,0,generosity_streak,OLMo
large - medium,-1.436711416135061,0.15080000978249014,0.4524000293474704,total_A,OLMo
large - small,2.6080415412496207,0.009106190257158522,0.027318570771475564,total_A,OLMo
medium - small,3.9690486093964696,7.216016191639557e-5,2.164804857491867e-4,total_A,OLMo
large - medium,57.75138768936541,0,0,total_B,OLMo
large - small,5.329434883667098,9.851883462416262e-8,2.955565038724879e-7,total_B,OLMo
medium - small,-39.98388198370646,0,0,total_B,OLMo
large - medium,236.07953041089814,0,0,choice_prob,Qwen
large - medium,-183.82188043584526,0,0,given,Qwen
large - medium,183.82188043584526,0,0,kept,Qwen
large - medium,-12.427200178976916,1.860366553760939e-35,1.860366553760939e-35,generosity_streak,Qwen
large - medium,66.67165581158969,0,0,total_A,Qwen
large - medium,-137.893989118325,0,0,total_B,Qwen
