size_category,median,ci_low,ci_high,outcome,eta2,kw_p,model_family
large,0.08885949352616378,NA,NA,choice_prob,NA,NA,DeepSeek
large,10,NA,NA,given,NA,NA,DeepSeek
large,0,0,0,kept,NA,NA,DeepSeek
large,1,NA,NA,generosity_streak,NA,NA,DeepSeek
large,10,NA,NA,total_A,NA,NA,DeepSeek
large,10,NA,NA,total_B,NA,NA,DeepSeek
medium,0.05144972635865299,0.05142036796426622,0.05211611494537199,choice_prob,0.01005779776816987,3.896784554675448e-209,GEMMA
small,0.01855804071082641,0.01825774831257373,0.018628344508720703,choice_prob,0.01005779776816987,3.896784554675448e-209,GEMMA
medium,5,5,5,given,0.2999892158679949,0,GEMMA
small,5,NA,NA,given,0.2999892158679949,0,GEMMA
medium,5,5,5,kept,0.2999892158679949,0,GEMMA
small,5,NA,NA,kept,0.2999892158679949,0,GEMMA
medium,0,0,0,generosity_streak,0.3055677950856766,0,GEMMA
small,0,0,0,generosity_streak,0.3055677950856766,0,GEMMA
medium,252.5,250,255,total_A,0.130404603111014,0,GEMMA
small,90,90,90,total_A,0.130404603111014,0,GEMMA
medium,252.5,250,255,total_B,0.03579122686801664,0,GEMMA
small,325,320,329.93260299806514,total_B,0.03579122686801664,0,GEMMA
large,0.05354411391497904,0.05351895269493284,0.053569275135025234,choice_prob,0.4283026050297632,0,OLMo
medium,0.026023132564118395,0.025936283913124452,0.02607191663653116,choice_prob,0.4283026050297632,0,OLMo
small,0.015844763895310393,0.01583038149102349,0.015884367953719298,choice_prob,0.4283026050297632,0,OLMo
large,5,5,5,given,4.561610889043172e-4,2.8264215966653968e-14,OLMo
medium,5,NA,NA,given,4.561610889043172e-4,2.8264215966653968e-14,OLMo
small,5,NA,NA,given,4.561610889043172e-4,2.8264215966653968e-14,OLMo
large,5,5,5,kept,4.561610889043172e-4,2.8264215966653968e-14,OLMo
medium,5,NA,NA,kept,4.561610889043172e-4,2.8264215966653968e-14,OLMo
small,5,NA,NA,kept,4.561610889043172e-4,2.8264215966653968e-14,OLMo
large,0,0,0,generosity_streak,0.13283426933321865,0,OLMo
medium,0,0,0,generosity_streak,0.13283426933321865,0,OLMo
small,0,0,0,generosity_streak,0.13283426933321865,0,OLMo
large,252.5,250,255,total_A,1.046656177018707e-4,3.602519560357702e-4,OLMo
medium,235,234,237,total_A,1.046656177018707e-4,3.602519560357702e-4,OLMo
small,250,245,255,total_A,1.046656177018707e-4,3.602519560357702e-4,OLMo
large,252.5,250,255,total_B,0.029744026791092976,0,OLMo
medium,170,165,172,total_B,0.029744026791092976,0,OLMo
small,245,240,250,total_B,0.029744026791092976,0,OLMo
large,0.07117882768922623,0.07106026323491547,0.07131295723584077,choice_prob,0.472714312072128,0,Qwen
medium,0.03799797734796763,0.037279808590047016,0.03828346230157434,choice_prob,0.472714312072128,0,Qwen
large,2.5,0,5,given,0.286596864493916,0,Qwen
medium,5,NA,NA,given,0.286596864493916,0,Qwen
large,7.5,5,10,kept,0.2865968644939141,0,Qwen
medium,5,NA,NA,kept,0.2865968644939141,0,Qwen
large,0,0,0,generosity_streak,0.0013014131102660094,1.860366554801582e-35,Qwen
medium,0,0,0,generosity_streak,0.0013014131102660094,1.860366554801582e-35,Qwen
large,337.5,335,340,total_A,0.03769421020245687,0,Qwen
medium,259,255,260,total_A,0.03769421020245687,0,Qwen
large,2.5,0,5,total_B,0.16127153101352612,0,Qwen
medium,250,246,250,total_B,0.16127153101352612,0,Qwen
