size_category,median,ci_low,ci_high,outcome,eta2,kw_p,model_family
medium,0.75,0.75,0.76,coop_prob,NA,NA,DeepSeek
medium,2,2,3,coop_streak,NA,NA,DeepSeek
medium,0,0,0,relative_payoff,NA,NA,DeepSeek
large,0.1111111111111111,0.10828237175290896,0.1176470588235294,coop_prob,0.28483735813128863,0,GEMMA
medium,0.6768453768453768,0.6575439649606251,0.7272727272727273,coop_prob,0.28483735813128863,0,GEMMA
small,1,1,1,coop_prob,0.28483735813128863,0,GEMMA
large,0,0,0,coop_streak,0.21820382378670705,0,GEMMA
medium,0,0,0,coop_streak,0.21820382378670705,0,GEMMA
small,50.5,50,51,coop_streak,0.21820382378670705,0,GEMMA
large,0,0,0,relative_payoff,0.22167940254022417,0,GEMMA
medium,0,0,0,relative_payoff,0.22167940254022417,0,GEMMA
small,0,0,0,relative_payoff,0.22167940254022417,0,GEMMA
large,1,NA,NA,coop_prob,0.1699172457845004,0,OLMo
medium,1,NA,NA,coop_prob,0.1699172457845004,0,OLMo
small,1,1,1,coop_prob,0.1699172457845004,0,OLMo
large,3,2,3,coop_streak,0.13134608974403159,0,OLMo
medium,10,10,11,coop_streak,0.13134608974403159,0,OLMo
small,51,NA,NA,coop_streak,0.13134608974403159,0,OLMo
large,0,0,0,relative_payoff,0.11023817239252805,0,OLMo
medium,0,0,0,relative_payoff,0.11023817239252805,0,OLMo
small,0,0,0,relative_payoff,0.11023817239252805,0,OLMo
large,1,NA,NA,coop_prob,0.005202151824179585,0,Qwen
medium,1,NA,NA,coop_prob,0.005202151824179585,0,Qwen
large,2,2,3,coop_streak,0.00528337950743008,0,Qwen
medium,13,13,13,coop_streak,0.00528337950743008,0,Qwen
large,0,0,0,relative_payoff,0.018781009378299372,0,Qwen
medium,0,0,0,relative_payoff,0.018781009378299372,0,Qwen
